RELEASE_NAME	ARCHITECTURE_NAME	EXTERNAL_TAG
CMSSW_4_2_X_2011-04-06-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-06-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-06-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-07-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-07-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_3_11_X_2011-03-01-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-03-10-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-02-1400	osx106_amd64_gcc421	V00-16-05
CMSSW_4_2_X_2011-03-02-1400	slc5_amd64_gcc434	V00-16-05
CMSSW_4_2_X_2011-03-10-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-02-1400	slc5_amd64_gcc451	V00-16-05
CMSSW_4_2_X_2011-03-10-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_11_X_2011-03-02-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-02-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-02-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_3_11_X_2011-03-03-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-03-04-1400	osx106_amd64_gcc421	V00-16-05
CMSSW_4_2_X_2011-03-04-1400	slc5_amd64_gcc434	V00-16-05
CMSSW_4_2_X_2011-03-04-1400	slc5_amd64_gcc451	V00-16-05
CMSSW_4_2_X_2011-03-05-0200	osx106_amd64_gcc421	V00-16-05
CMSSW_4_2_X_2011-03-05-0200	slc5_amd64_gcc434	V00-16-05
CMSSW_4_2_X_2011-03-05-0200	slc5_amd64_gcc451	V00-16-05
CMSSW_4_2_X_2011-03-06-0200	osx106_amd64_gcc421	V00-16-05
CMSSW_4_2_X_2011-03-06-0200	slc5_amd64_gcc434	V00-16-05
CMSSW_4_2_X_2011-03-06-0200	slc5_amd64_gcc451	V00-16-05
CMSSW_4_2_X_2011-03-07-0200	osx106_amd64_gcc421	V00-16-05
CMSSW_4_2_X_2011-03-07-0200	slc5_amd64_gcc434	V00-16-05
